Bauxite_destination_m,Bauxite_source_m,Bauxite_tonnes_m,Alumina_destination_m,Alumina_source_m,Alumina_tonnes_m,Bauxite_destination_x,Bauxite_source_x,Bauxite_tonnes_x,Alumina_destination_x,Alumina_source_x,Alumina_tonnes_x,Bauxite_local_country,Bauxite_local_tonnes,country1,avg_co2_kg_per_kwh,country2,energy_kwh_per_t
,,,Sweden,United Kingdom,704371.2,,,,Rep. of Korea,Netherlands,1217100,,,,,,
,,,Sweden,Denmark,488299.4,,,,Rep. of Korea,Poland,641911,,,,,,
,,,Sweden,China,411282.1,,,,Rep. of Korea,Malaysia,619989.9,,,,,,
,,,Sweden,Japan,295796.1,,,,Rep. of Korea,Greece,380000,,,,,,
,,,Sweden,Slovenia,258810.3,,,,Rep. of Korea,Pakistan,360000,,,,,,
,,,Italy,Greece,123161300,,,,Rep. of Korea,India,336692.7,,,,,,
,,,Italy,Germany,68453138,,,,Rep. of Korea,Saudi Arabia,294400,,,,,,
,,,Italy,Bosnia Herzegovina,51385700,,,,Rep. of Korea,Australia,236878.4,,,,,,
,,,Italy,Slovenia,25767960,,,,Rep. of Korea,France,187659,,,,,,
,,,Italy,Spain,23324829,,,,Rep. of Korea,Türkiye,172602.1,,,,,,
,,,Italy,China,23316225,,,,Rep. of Korea,Mexico,168840,,,,,,
,,,Italy,France,14313526,,,,Rep. of Korea,United Arab Emirates,133721.9,,,,,,
,,,Italy,Hungary,11543460,,,,Rep. of Korea,Hungary,129625,,,,,,
,,,Italy,Austria,11185637,,,,Rep. of Korea,Philippines,118764.5,,,,,,
,,,Italy,India,9114950,,,,Rep. of Korea,Germany,98488.1,,,,,,
,,,Italy,Brazil,6936600,,,,United Kingdom,Italy,1703852,,,,,,
,,,Italy,Rep. of Korea,6800070,,,,United Kingdom,Belgium,1665143,,,,,,
,,,Italy,Türkiye,5928550,,,,United Kingdom,Germany,1486872.5,,,,,,
,,,Italy,Ukraine,4661000,,,,United Kingdom,Ireland,1177749.5,,,,,,
